zipcode,nyc_filings,housing units,nycfilings_unit,nycfilingsrate
10001,196,23099,0.008485216, 8.49 
10002,166,36923,0.004495843, 4.50 
10003,145,34095,0.004252823, 4.25 
10004,23,4187,0.005493193, 5.49 
10005,38,6135,0.006193969, 6.19 
10006,11,3219,0.00341721, 3.42 
10007,10,4594,0.002176752, 2.18 
10009,92,33863,0.00271683, 2.72 
10010,40,20031,0.001996905, 2.00 
10011,159,34353,0.004628417, 4.63 
10012,81,15228,0.005319149, 5.32 
10013,62,19934,0.003110264, 3.11 
10014,121,22878,0.005288924, 5.29 
10016,154,46027,0.003345862, 3.35 
10017,80,13729,0.005827081, 5.83 
10018,112,7536,0.014861996, 14.86 
10019,306,39075,0.007831094, 7.83 
10020,1,0,,0
10021,95,30836,0.003080815, 3.08 
10022,118,27891,0.004230755, 4.23 
10023,181,44070,0.004107102, 4.11 
10024,130,37150,0.003499327, 3.50 
10025,290,48257,0.006009491, 6.01 
10026,176,15392,0.011434511, 11.43 
10027,265,28683,0.009238922, 9.24 
10028,104,30517,0.003407937, 3.41 
10029,321,35142,0.009134369, 9.13 
10030,246,32236,0.00763122, 7.63 
10031,413,22149,0.01864644, 18.65 
10032,469,22489,0.02085464, 20.85 
10033,302,20323,0.014860011, 14.86 
10034,277,15812,0.017518341, 17.52 
10035,137,17744,0.00772092, 7.72 
10036,254,36921,0.006879554, 6.88 
10037,69,11084,0.006225189, 6.23 
10038,81,14930,0.005425318, 5.43 
10039,211,11733,0.017983465, 17.98 
10040,320,16083,0.019896785, 19.90 
10044,4,11951,0.0003347, 0.33 
10065,102,22961,0.004442315, 4.44 
10069,5,4726,0.001057977, 1.06 
10075,35,18291,0.001913509, 1.91 
10128,112,35856,0.003123606, 3.12 
10155,1,0,,0
10168,2,0,,0
10280,51,4873,0.010465832, 10.47 
10282,15,3476,0.004315305, 4.32 
10301,84,16430,0.005112599, 5.11 
10302,38,6403,0.005934718, 5.93 
10303,202,8456,0.023888363, 23.89 
10304,105,16063,0.006536762, 6.54 
10305,29,15383,0.001885198, 1.89 
10306,64,21631,0.002958717, 2.96 
10307,8,5445,0.001469238, 1.47 
10308,12,10487,0.001144274, 1.14 
10309,12,12576,0.000954198, 0.95 
10310,32,8897,0.003596718, 3.60 
10312,21,22584,0.000929862, 0.93 
10314,67,32556,0.002057992, 2.06 
10451,354,21375,0.016561404, 16.56 
10452,1083,28291,0.038280725, 38.28 
10453,1177,33545,0.035087196, 35.09 
10454,234,15600,0.015, 15.00 
10455,231,17360,0.013306452, 13.31 
10456,953,33063,0.028823761, 28.82 
10457,933,29899,0.031205057, 31.21 
10458,1072,29560,0.036265223, 36.27 
10459,359,19164,0.018733041, 18.73 
10460,639,23840,0.026803691, 26.80 
10461,200,20297,0.009853673, 9.85 
10462,857,32348,0.026493137, 26.49 
10463,374,31371,0.011921839, 11.92 
10464,7,2172,0.003222836, 3.22 
10465,43,16083,0.002673631, 2.67 
10466,297,23746,0.01250737, 12.51 
10467,1038,47999,0.021625451, 21.63 
10468,1295,26547,0.048781407, 48.78 
10469,288,22403,0.012855421, 12.86 
10470,61,6621,0.00921311, 9.21 
10471,69,10220,0.006751468, 6.75 
10472,407,22272,0.018274066, 18.27 
10473,123,22742,0.005408495, 5.41 
10474,61,4071,0.014984033, 14.98 
10475,55,17516,0.003139986, 3.14 
11001,5,1443,0.003465003, 3.47 
11004,4,5006,0.000799041, 0.80 
11040,3,975,0.003076923, 3.08 
11101,138,31449,0.004388057, 4.39 
11102,79,17021,0.004641325, 4.64 
11103,71,17287,0.004107133, 4.11 
11104,116,13138,0.00882935, 8.83 
11105,171,16710,0.010233393, 10.23 
11106,117,19949,0.005864956, 5.86 
11109,32,3352,0.009546539, 9.55 
11111,1,0,,0
11201,124,41563,0.002983423, 2.98 
11202,1,0,,0
11203,523,27575,0.018966455, 18.97 
11204,74,29574,0.002502198, 2.50 
11205,140,18613,0.007521625, 7.52 
11206,183,35607,0.005139439, 5.14 
11207,475,34090,0.013933705, 13.93 
11208,544,30304,0.017951426, 17.95 
11209,239,32769,0.007293479, 7.29 
11210,284,23331,0.012172646, 12.17 
11211,132,30426,0.004338395, 4.34 
11212,464,33193,0.013978851, 13.98 
11213,418,26637,0.015692458, 15.69 
11214,288,33308,0.008646571, 8.65 
11215,86,33236,0.002587556, 2.59 
11216,240,26950,0.00890538, 8.91 
11217,124,21878,0.005667794, 5.67 
11218,161,27071,0.005947324, 5.95 
11219,131,29025,0.004513351, 4.51 
11220,155,29506,0.005253169, 5.25 
11221,370,35004,0.010570221, 10.57 
11222,86,21911,0.003924969, 3.92 
11223,279,29056,0.009602148, 9.60 
11224,160,21290,0.007515265, 7.52 
11225,711,25017,0.028420674, 28.42 
11226,911,40532,0.022476068, 22.48 
11228,34,15794,0.002152716, 2.15 
11229,212,31521,0.006725675, 6.73 
11230,399,32306,0.012350647, 12.35 
11231,33,18201,0.001813087, 1.81 
11232,73,9332,0.007822546, 7.82 
11233,459,29472,0.015574104, 15.57 
11234,110,31072,0.003540165, 3.54 
11235,342,36418,0.009390961, 9.39 
11236,219,31007,0.007062921, 7.06 
11237,126,17449,0.007221044, 7.22 
11238,219,30015,0.007296352, 7.30 
11239,30,10059,0.002982404, 2.98 
11249,92,17824,0.00516158, 5.16 
11354,214,60509,0.003536664, 3.54 
11355,255,31886,0.00799724, 8.00 
11356,23,8406,0.002736141, 2.74 
11357,28,15989,0.001751204, 1.75 
11358,39,13941,0.002797504, 2.80 
11360,30,9159,0.003275467, 3.28 
11361,41,11158,0.003674494, 3.67 
11362,9,7001,0.001285531, 1.29 
11363,18,2768,0.00650289, 6.50 
11364,102,13920,0.007327586, 7.33 
11365,127,16834,0.007544256, 7.54 
11366,28,8061,0.003473514, 3.47 
11367,91,14651,0.00621118, 6.21 
11368,1056,30498,0.034625221, 34.63 
11369,44,10700,0.00411215, 4.11 
11370,36,9435,0.00381558, 3.82 
11372,354,24863,0.014238024, 14.24 
11373,334,34441,0.009697744, 9.70 
11374,251,20592,0.0121892, 12.19 
11375,277,34453,0.008039938, 8.04 
11377,209,38680,0.005403309, 5.40 
11378,55,13630,0.004035216, 4.04 
11379,46,15135,0.003039313, 3.04 
11385,141,37861,0.003724149, 3.72 
11386,1,0,,0
11411,22,5995,0.003669725, 3.67 
11412,46,11348,0.004053578, 4.05 
11413,59,12402,0.004757297, 4.76 
11414,15,10696,0.001402393, 1.40 
11415,125,9195,0.013594345, 13.59 
11416,26,7157,0.003632807, 3.63 
11417,54,9536,0.005662752, 5.66 
11418,66,11518,0.005730161, 5.73 
11419,52,12164,0.00427491, 4.27 
11420,41,13357,0.003069552, 3.07 
11421,66,12198,0.005410723, 5.41 
11422,34,9626,0.003532101, 3.53 
11423,81,10091,0.008026955, 8.03 
11424,1,0,,0
11426,11,6395,0.001720094, 1.72 
11427,68,7734,0.008792345, 8.79 
11428,26,5702,0.004559804, 4.56 
11429,24,7155,0.003354298, 3.35 
11432,388,20700,0.018743961, 18.74 
11433,68,10800,0.006296296, 6.30 
11434,121,21579,0.005607303, 5.61 
11435,195,20528,0.009499221, 9.50 
11436,28,6227,0.004496547, 4.50 
11691,344,21260,0.016180621, 16.18 
11692,21,8124,0.002584934, 2.58 
11693,19,4691,0.004050309, 4.05 
11694,38,9426,0.004031403, 4.03 
,,,,